City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,itoman,26.1247,127.6694,301.16,87,75,9.77,JP,1691462575
1,saint joseph,39.7686,-94.8466,294.57,88,0,0.0,US,1691462575
2,coquimbo,-29.9533,-71.3436,287.0,94,100,3.6,CL,1691462317
3,san patricio,28.017,-97.5169,303.25,75,0,6.79,US,1691462575
4,west island,-12.1568,96.8225,300.14,78,40,5.14,CC,1691462576
5,port-aux-francais,-49.35,70.2167,275.9,76,30,16.38,TF,1691462576
6,papatowai,-46.5619,169.4708,279.58,72,82,7.47,NZ,1691462576
7,jamestown,42.097,-79.2353,292.35,96,100,6.17,US,1691462524
8,yellowknife,62.456,-114.3525,290.44,55,75,1.54,CA,1691462576
9,badger,64.8,-147.5333,296.21,60,100,1.54,US,1691462576
10,caucete,-31.6518,-68.2811,285.34,25,18,0.71,AR,1691462353
11,ushuaia,-54.8,-68.3,274.96,80,0,1.54,AR,1691462576
12,port elizabeth,-33.918,25.5701,286.31,94,0,4.63,ZA,1691462577
13,blackmans bay,-43.0167,147.3167,286.89,60,10,1.16,AU,1691462577
14,hamilton,39.1834,-84.5333,294.78,83,100,5.66,US,1691462298
15,iqaluit,63.7506,-68.5145,280.0,87,75,2.57,CA,1691462577
16,waitangi,-43.9535,-176.5597,283.61,79,100,1.34,NZ,1691462577
17,dubbo,-32.25,148.6167,291.22,52,1,5.14,AU,1691462577
18,wailua homesteads,22.0669,-159.378,302.59,79,40,8.75,US,1691462577
19,kodiak,57.79,-152.4072,287.88,88,100,2.57,US,1691462577
20,nevel'sk,46.6733,141.8633,293.38,62,43,6.37,RU,1691462578
21,puerto natales,-51.7236,-72.4875,272.48,88,100,0.86,CL,1691462578
22,avarua,-21.2078,-159.775,297.18,69,75,2.06,CK,1691462578
23,vila franca do campo,37.7167,-25.4333,294.38,85,26,1.82,PT,1691462578
24,la passe,45.5549,-0.8967,287.03,72,42,2.23,FR,1691462578
25,vernon,50.2581,-119.2691,302.89,37,100,0.0,CA,1691462386
26,naze,28.3667,129.4833,298.66,91,90,13.45,JP,1691462578
27,nagqu,31.5,92.0,284.07,71,100,1.92,CN,1691462579
28,grytviken,-54.2811,-36.5092,266.09,82,15,4.46,GS,1691462579
29,okhotsk,59.3833,143.3,289.03,47,88,2.3,RU,1691462579
30,khanna,30.7044,76.2231,305.29,74,91,1.1,IN,1691462579
31,usogorsk,63.4106,48.6872,286.9,78,8,2.73,RU,1691462579
32,albany,42.6001,-73.9662,295.75,92,100,1.34,US,1691462579
33,tamanrasset,22.785,5.5228,301.1,20,33,3.09,DZ,1691462579
34,childress,34.4264,-100.204,304.77,45,0,2.06,US,1691462334
35,taltal,-25.4,-70.4833,289.88,75,97,1.1,CL,1691462580
36,olonkinbyen,70.9221,-8.7187,277.33,79,100,1.84,SJ,1691462580
37,port lincoln,-34.7333,135.8667,288.92,45,0,3.8,AU,1691462482
38,petropavlovsk-kamchatsky,53.0452,158.6483,295.48,40,0,2.0,RU,1691462580
39,invercargill,-46.4,168.35,281.49,75,83,4.02,NZ,1691462580
40,ouani,-12.1322,44.4258,297.54,73,10,5.27,KM,1691462580
41,gonaives,19.45,-72.6833,301.27,80,100,2.75,HT,1691462581
42,adamstown,-25.066,-130.1015,294.24,76,45,5.13,PN,1691462581
43,vilyuchinsk,52.9306,158.4028,296.3,54,4,3.47,RU,1691462581
44,toropets,56.4978,31.6353,287.77,94,90,4.16,RU,1691462581
45,st. john's,47.5649,-52.7093,287.97,91,100,9.26,CA,1691462581
46,bethel,41.3712,-73.414,297.7,87,100,3.09,US,1691462581
47,correntina,-13.3433,-44.6367,294.15,49,5,0.65,BR,1691462581
48,salekhard,66.53,66.6019,291.38,77,27,2.06,RU,1691462582
49,port saint john's,-31.6229,29.5448,289.62,84,0,2.84,ZA,1691462582
50,wagar,16.1525,36.2032,300.43,70,26,6.2,SD,1691462582
51,hawaiian paradise park,19.5933,-154.9731,301.88,69,100,5.14,US,1691462582
52,aldan,58.6031,125.3894,296.73,50,25,1.99,RU,1691462582
53,ulladulla,-35.35,150.4667,288.29,60,5,3.39,AU,1691462583
54,lihue,21.9789,-159.3672,302.92,72,40,8.75,US,1691462390
55,punta arenas,-53.15,-70.9167,275.16,66,100,3.41,CL,1691462529
56,trabzon,40.9167,39.8333,296.2,83,75,2.06,TR,1691462583
57,edinburgh of the seven seas,-37.0676,-12.3116,287.64,78,79,18.67,SH,1691462583
58,san luis de la loma,17.2706,-100.8939,300.72,83,9,2.68,MX,1691462583
59,andovoranto,-18.95,49.1,292.31,89,93,1.22,MG,1691462583
60,kununurra,-15.7667,128.7333,302.14,30,8,7.72,AU,1691462583
61,ilulissat,69.2167,-51.1,280.16,65,20,0.0,GL,1691462584
62,rongelap,11.1635,166.8941,301.87,76,98,7.71,MH,1691462584
63,afif,23.9065,42.9172,298.65,24,0,2.72,SA,1691462584
64,bredasdorp,-34.5322,20.0403,283.7,92,2,2.85,ZA,1691462584
65,whitehorse,60.7161,-135.0538,295.38,45,75,4.63,CA,1691462356
66,talnakh,69.4865,88.3972,292.71,54,100,2.1,RU,1691462584
67,colonia,50.9333,6.95,287.51,80,0,2.57,DE,1691462584
68,soure,-0.7167,-48.5233,299.22,84,33,3.76,BR,1691462584
69,melekeok village,7.4957,134.6367,299.46,83,100,5.14,PW,1691462585
70,diok'nisi,41.6293,42.3917,292.51,65,0,2.11,GE,1691462585
71,margaret river,-33.95,115.0667,288.21,82,94,9.81,AU,1691462585
72,puerto ayora,-0.7393,-90.3518,297.34,88,100,3.58,EC,1691462585
73,tiksi,71.6872,128.8694,283.57,55,39,2.17,RU,1691462585
74,udachny,66.4167,112.4,295.07,37,97,3.97,RU,1691462585
75,arraial do cabo,-22.9661,-42.0278,294.58,77,0,4.79,BR,1691462585
76,alamosa,37.4695,-105.87,298.14,10,0,6.69,US,1691462586
77,tayu,-6.5397,111.0518,301.74,64,34,4.68,ID,1691462586
78,tolanaro,-25.0319,46.9987,291.19,100,75,7.2,MG,1691462586
79,college,64.8569,-147.8028,296.25,59,75,1.54,US,1691462586
80,illizi,26.4833,8.4667,307.04,22,5,5.52,DZ,1691462586
81,callao,-12.0667,-77.15,294.31,73,100,5.14,PE,1691462586
82,katsuura,35.1333,140.3,306.16,75,97,3.75,JP,1691462586
83,qaqortoq,60.7167,-46.0333,278.06,88,4,1.27,GL,1691462586
84,nhamunda,-2.1861,-56.7131,300.22,49,88,1.2,BR,1691462587
85,muscat,23.6139,58.5922,305.16,69,9,3.55,OM,1691462587
86,khorugh,37.4897,71.553,289.5,56,3,0.33,TJ,1691462587
87,afaahiti,-17.75,-149.2833,301.08,79,88,5.28,PF,1691462587
88,constantia,44.1833,28.65,291.53,57,9,6.67,RO,1691462557
89,kodinsk,58.6881,99.1844,294.37,57,0,0.82,RU,1691462587
90,juneau,58.3019,-134.4197,290.15,95,100,1.54,US,1691462387
91,hun,29.1268,15.9477,296.41,59,0,3.15,LY,1691462587
92,kasongo-lunda,-6.4667,16.8167,292.91,54,100,1.16,CD,1691462588
93,natal,-5.795,-35.2094,296.51,100,20,3.09,BR,1691462588
94,kone,-21.0595,164.8658,295.03,63,100,5.44,NC,1691462588
95,thompson,55.7435,-97.8558,288.24,77,75,2.57,CA,1691462499
96,roma,43.2128,-75.4557,296.33,95,100,2.57,US,1691462588
97,acarau,-2.8856,-40.12,298.89,84,38,7.43,BR,1691462588
98,nanning,22.8167,108.3167,300.4,79,80,3.62,CN,1691462588
99,inderbor,48.55,51.7833,299.73,39,0,3.14,KZ,1691462589
100,pemangkat,1.1667,108.9667,302.32,64,91,1.38,ID,1691462589
101,vikulovo,56.8167,70.6107,294.28,64,95,2.49,RU,1691462589
102,sandnessjoen,66.0217,12.6316,288.44,87,96,7.38,NO,1691462589
103,zaragoza,41.6561,-0.8773,293.6,44,0,3.09,ES,1691462589
104,trincomalee,8.5711,81.2335,302.23,68,82,9.24,LK,1691462589
105,howrah,22.5892,88.3103,300.15,94,100,3.09,IN,1691462323
106,fortuna,40.5982,-124.1573,290.74,90,100,4.63,US,1691462589
107,taphan hin,16.2209,100.4198,304.81,100,99,3.03,TH,1691462590
108,shendi,16.6915,33.4341,303.93,51,7,3.1,SD,1691462590
109,sisimiut,66.9395,-53.6735,279.78,74,60,0.31,GL,1691462590
110,batangafo,7.3008,18.2833,293.64,98,100,1.5,CF,1691462590
111,selkirk,50.1436,-96.8845,296.19,40,65,1.66,CA,1691462520
112,nova sintra,14.8667,-24.7167,295.23,78,27,6.34,CV,1691462590
113,derzhavinsk,51.1,66.3167,295.37,37,84,4.44,KZ,1691462590
114,coahuayana de hidalgo,18.7,-103.6583,300.02,85,65,1.12,MX,1691462590
115,mahanoro,-19.9,48.8,291.68,89,99,1.09,MG,1691462591
116,aasiaat,68.7098,-52.8699,273.37,85,15,1.21,GL,1691462591
117,batouri,4.4333,14.3667,293.3,100,100,0.58,CM,1691462591
118,ola,59.5833,151.2833,289.9,50,82,3.89,RU,1691462591
119,antsiranana,-12.2787,49.2917,294.49,76,6,5.44,MG,1691462591
120,hinton,53.4001,-117.5857,287.95,93,94,1.2,CA,1691462564
121,mar del plata,-38.0023,-57.5575,279.79,71,75,0.0,AR,1691462591
122,geraldton,-28.7667,114.6,294.38,78,6,7.2,AU,1691462592
123,pisco,-13.7,-76.2167,292.18,77,100,6.69,PE,1691462592
124,sao geraldo do araguaia,-6.4006,-48.555,298.81,44,42,0.48,BR,1691462592
125,palmerston north,-40.35,175.6167,284.68,79,50,0.45,NZ,1691462592
126,atafu village,-8.5421,-172.5159,301.5,71,13,6.04,TK,1691462592
127,stanley,54.868,-1.6985,283.55,90,0,4.12,GB,1691462592
128,bella union,-30.2752,-57.6007,282.89,75,3,4.73,UY,1691462593
129,severo-yeniseyskiy,60.3725,93.0408,288.49,70,95,2.19,RU,1691462593
130,manismata,-2.4667,111.0333,303.65,53,47,2.54,ID,1691462593
131,sai buri,6.7013,101.6168,306.46,64,5,2.26,TH,1691462593
132,gariadhar,21.5333,71.5833,300.21,76,92,7.78,IN,1691462593
133,keflavik,64.0049,-22.5624,284.1,93,75,1.54,IS,1691462593
134,salym,60.0625,71.4789,293.75,53,2,2.39,RU,1691462593
135,west plains,36.7281,-91.8524,296.61,79,75,1.54,US,1691462417
136,calvi,42.5,8.8333,287.5,59,0,3.6,FR,1691462594
137,anadyr,64.75,177.4833,286.43,76,75,5.0,RU,1691462594
138,gorontalo,0.5412,123.0595,304.42,55,18,4.25,ID,1691462594
139,mili,6.0815,171.735,298.63,86,100,1.53,MH,1691462594
140,horta,38.5333,-28.6333,293.72,82,7,3.58,PT,1691462594
141,mineral wells,32.8085,-98.1128,310.26,30,0,6.17,US,1691462594
142,isafjordur,66.0755,-23.124,283.77,58,77,0.74,IS,1691462594
143,ust-nera,64.5667,143.2,288.28,30,92,1.99,RU,1691462594
144,biryusinsk,55.9634,97.8235,294.39,61,87,2.19,RU,1691462595
145,kapa'a,22.0752,-159.319,303.33,79,40,8.75,US,1691462595
146,weno,7.4515,151.8468,299.12,94,100,2.57,FM,1691462595
147,inhambane,-23.865,35.3833,290.66,83,1,3.7,MZ,1691462595
148,aykhal,66.0,111.5,294.75,36,84,4.84,RU,1691462595
149,labrador city,52.9463,-66.9114,286.1,94,75,0.0,CA,1691462595
150,sandwip,22.4678,91.4561,300.17,91,100,11.26,BD,1691462595
151,marsh harbour,26.5412,-77.0636,302.89,78,16,4.69,BS,1691462596
152,funadhoo,6.15,73.2667,301.04,75,91,6.33,MV,1691462596
153,praia da vitoria,38.7333,-27.0667,295.24,94,40,0.91,PT,1691462596
154,kerikeri,-35.2268,173.9474,287.54,85,100,1.34,NZ,1691462596
155,glushkovo,51.3392,34.6328,287.29,92,0,2.33,RU,1691462596
156,bardai,11.65,7.2333,294.02,93,91,3.59,NG,1691462596
157,tshikapa,-6.4167,20.8,298.67,37,100,0.98,CD,1691462596
158,ancud,-41.8697,-73.8203,281.43,87,83,3.03,CL,1691462596
159,puerto lempira,15.2667,-83.7667,299.94,88,100,2.62,HN,1691462597
160,leninskoye,41.7589,69.3864,301.58,30,56,5.3,KZ,1691462597
161,dunedin,-45.8742,170.5036,281.37,60,99,6.26,NZ,1691462597
162,cadale,2.7603,46.3222,297.38,85,100,8.32,SO,1691462597
163,mariani,26.6667,94.3333,298.34,99,100,1.39,IN,1691462597
164,champerico,14.3,-91.9167,301.99,73,92,0.11,GT,1691462597
165,marsa alam,25.0757,34.8918,305.29,33,0,3.27,EG,1691462598
166,portland,45.5234,-122.6762,300.62,53,20,3.6,US,1691462443
167,wafangdian,39.6183,122.0081,302.46,59,0,0.5,CN,1691462598
168,bikenibeu village,1.3673,173.1241,301.13,89,75,1.54,KI,1691462598
169,beyneu,45.3167,55.2,301.22,37,0,3.44,KZ,1691462598
170,bilibino,68.0546,166.4372,283.27,58,81,0.54,RU,1691462598
171,howard springs,-12.497,131.047,303.05,17,11,4.74,AU,1691462598
172,al bawiti,28.3492,28.8659,298.97,65,0,4.19,EG,1691462598
173,hadibu,12.65,54.0333,298.85,80,49,10.25,YE,1691462599
174,monterey park,34.0625,-118.1228,303.34,44,0,3.09,US,1691462599
175,napili-honokowai,20.9708,-156.6705,303.79,71,5,10.49,US,1691462599
176,kourou,5.1552,-52.6478,298.18,91,100,3.19,GF,1691462599
177,knoxville,35.9606,-83.9207,298.29,83,75,5.14,US,1691462576
178,minot air force base,48.4209,-101.3391,296.25,58,0,3.09,US,1691462599
179,georgetown,5.4112,100.3354,303.12,78,40,2.68,MY,1691462336
180,belyy yar,53.6039,91.3903,292.09,77,0,1.0,RU,1691462599
181,remire-montjoly,4.9167,-52.2667,298.17,94,0,1.03,GF,1691462447
182,al jawf,29.5,38.75,297.02,38,0,2.33,SA,1691462600
183,magalia,39.8121,-121.5783,306.9,28,9,0.45,US,1691462600
184,puerto deseado,-47.7503,-65.8938,278.42,88,100,9.04,AR,1691462600
185,poso,-1.3959,120.7524,303.74,58,10,1.67,ID,1691462600
186,happy valley-goose bay,53.3168,-60.3315,288.32,88,75,1.54,CA,1691462600
187,iskateley,67.6803,53.1512,283.45,73,89,4.2,RU,1691462601
188,soe,-9.8607,124.284,297.8,41,8,4.86,ID,1691462601
189,carnarvon,-24.8667,113.6333,296.52,62,77,2.21,AU,1691462601
190,diamantina,-18.2494,-43.6003,287.51,47,0,1.19,BR,1691462601
191,harper,4.375,-7.7169,297.02,91,44,3.18,LR,1691462601
192,utrik,11.2278,169.8474,301.58,75,53,8.95,MH,1691462601
193,kavaratti,10.5669,72.642,300.97,75,100,8.46,IN,1691462602
194,longyearbyen,78.2186,15.6401,278.47,96,100,1.69,SJ,1691462602
195,klyuchi,52.2667,79.1667,296.21,35,0,2.22,RU,1691462602
196,mejit,10.2753,170.8646,301.48,75,44,8.54,MH,1691462602
197,kavieng,-2.5744,150.7967,301.59,69,81,5.78,PG,1691462602
198,sao joao da barra,-21.6403,-41.0511,294.51,85,0,3.85,BR,1691462602
199,lobujya,27.95,86.8167,279.05,90,100,1.6,NP,1691462602
200,sao felipe,-14.8167,-41.3833,292.4,85,1,0.99,BR,1691462603
